,answer,relation,target
0,"For father's father, we retrieve <father><father>father's father is grandfather. So the relations are reduced to grandfather. Therefore, the answer is grandfather.",grandfather,grandfather
1,"For daughter’s aunt, we retrieve <daughter><aunt>daughter’s aunt is aunt. So Robin is Shirley's aunt. Therefore, the answer is aunt.",aunt.,sister
2,"For son’s daughter, we retrieve <son><daughter>son’s daughter is daughter. So the relations are reduced to daughter, daughter. As both Kyle and Patty are daughters in this context, Kyle is Patty's sister. Therefore, the answer is sister.",sibling.,granddaughter
3,"For daughter’s daughter, we retrieve <daughter><daughter>daughter’s daughter is granddaughter. Therefore, Kyle is Amanda's granddaughter.",granddaughter.,granddaughter
4,"For son's uncle, we retrieve <son><uncle>son’s uncle is brother. So the relations are reduced to brother. Therefore, Shirley is Edward's brother.",brother.,brother
5,"For brother’s granddaughter, we retrieve <brother><granddaughter>brother’s granddaughter is niece. Therefore, Kyle is Casey's niece.",niece,grandson
6,"For mother’s mother, we retrieve <mother><mother>mother’s mother is grandmother. So the relations are reduced to grandmother. Therefore, Eddie is Karen's grandmother.",grandmother.,grandmother
7,"For uncle’s daughter, we retrieve <uncle><daughter>uncle’s daughter is niece. So Robin is Henry's niece.",niece,brother
8,"For husband’s daughter, we retrieve <husband><daughter>husband’s daughter is daughter. So the relations are reduced to daughter, daughter. As Shirley is Margaret's husband, and husband's daughter refers to their child, Shirley would be Margaret's daughter. Therefore, the answer is daughter.",daughter.,daughter
9,"For grandmother’s son, we retrieve <grandmother><son>grandmother’s son is father. So the relations are reduced to father. Therefore, the answer is father.",father.,mother
10,"For daughter’s sister, we retrieve <daughter><sister>daughter’s sister is sister. So the relations are reduced to sister, sister. For sister’s sister, we retrieve <sister><sister>Sister’s sister is sister. So the relations are reduced to sister. Therefore, the answer is sister.",sister.,daughter
11,"For {son}'s {wife}, we retrieve <son><wife>son’s wife is wife. So, Edward is Dorothy's husband.",husband.,daughter-in-law
12,"For brother’s father, we retrieve <brother><father>brother’s father is father. So the relations are reduced to father. Therefore, Dionne is Vernon's father.",father.,uncle
